Gene,MeanAbsSHAP
PNMA6A,0.001298899857827962
SERHL,0.0012973517271362312
COL11A1,0.0012958686861324115
WDR72,0.0012952299088580174
FAM131B,0.0012952048238236418
CBX2,0.001292633427286126
RANBP17,0.0012925817635572262
ZP2,0.0012919616323303813
ANGPTL1,0.0012918167574948963
CCDC74B,0.001289851505814315
KRT23,0.001289120241060636
LOC151174,0.0012889916961084226
CMTM7,0.0012888587637909332
WDR65,0.0012886825746951066
FUT3,0.0012882684718738386
KCNG1,0.0012879765408035876
FLT3,0.0012875662399065074
CEACAM5,0.0012871102579689855
LRRC16B,0.001287012234270198
YBX2,0.0012868899591764046
GREB1L,0.0012860023390421323
CLCA2,0.0012858743557286642
PPFIA2,0.001284194927414243
MND1,0.0012836735545325877
CHST9,0.0012835280742564236
GFRA1,0.0012833621594204993
COL11A2,0.0012832289466668417
THBS4,0.0012823400533787006
SMYD1,0.0012823162260805216
BIRC5,0.0012822807343342093
FAM110B,0.0012814452353747895
C15orf52,0.0012807764133566954
CSMD3,0.0012792106905146106
CDH1,0.001279004922916253
PRAME,0.0012780880775246652
FAM178B,0.001276729453459819
RERG,0.0012766299494935474
CREB3L1,0.0012756429696332183
FMO2,0.0012753308365833031
CLDN1,0.0012752395004598485
LIN28B,0.0012745888312248926
LILRB5,0.0012745340824868027
KLK7,0.0012733797809624371
LOC148696,0.0012725443089945227
SPEG,0.0012722128511073708
PTK6,0.001272002953027772
SBSN,0.0012719716284114687
KCNJ12,0.0012719201056266153
TMC4,0.001271605076112022
ESRRB,0.001270901946630687
C1orf115,0.0012707218520454768
NCRNA00093,0.0012704958385553607
LOC148709,0.001270383058589649
GJA3,0.0012702411712679248
D4S234E,0.0012699737687904013
ST8SIA2,0.0012698562125968414
TSPAN11,0.001269767193826965
ZFP36,0.0012695569891899398
GLS2,0.0012691978746186155
SLC16A3,0.0012688013897458304
CEACAM7,0.0012683762031520946
CAMK2N1,0.0012681708652596373
PART1,0.0012680844695245083
MAOA,0.0012673843973244755
KLK11,0.0012672759931501472
C20orf26,0.0012670820256275306
SLC35F3,0.001266851665951268
TCEAL2,0.0012667713789078839
TUBA3E,0.0012651852813880123
MAGEA1,0.0012644796050292624
ZNF711,0.0012644745920079952
SERPINE1,0.001264410097848925
SLC12A2,0.0012643488301800115
GPRIN2,0.0012643352526115197
ALOX15,0.0012639635189821597
C6orf15,0.0012636019602365106
ARSE,0.0012628732904962211
SLC13A3,0.0012627677898221477
GSTA1,0.0012625341455432704
SGK3,0.0012625198323595063
E2F1,0.0012622374676933784
KITLG,0.001261390565937543
KIAA1377,0.0012613840214172
FOXI1,0.001261176668420679
GATA3,0.0012599015549135907
HNF4G,0.0012597665956677576
NGB,0.00125967407799163
COL4A4,0.001259480049887745
ZNF365,0.001259152383294943
IL34,0.0012588797101415138
LRRN3,0.0012588011504237112
SLC6A14,0.001257417400714189
KLK14,0.0012568872949791576
PROC,0.0012565907148772088
CPB1,0.0012562771972293755
TP63,0.0012561960494824435
NRTN,0.0012554264855553913
ALDH3A1,0.001255396500782366
RYR3,0.0012553931687357867
DEPDC1,0.0012552370091370336
CYP2A6,0.0012545610523425745
ENTPD2,0.001254560926760146
NELL2,0.0012539224582543479
CD79A,0.0012535561818555468
CCDC150,0.0012535057003933365
DDIT4L,0.0012529343227138648
VMO1,0.0012527794351340068
GNLY,0.0012519500142550062
ABCC6P1,0.001251872184059266
XK,0.0012516198873816916
BMP8B,0.0012513649491787484
NOVA1,0.0012511545348034916
TMEM64,0.0012509066549640125
QPCT,0.0012505238060350778
NR2E1,0.0012505046734430734
FXYD1,0.0012504504582905283
SEL1L3,0.001250330491163254
PLIN5,0.0012499479041123448
TDO2,0.0012490030897232096
ZNF154,0.0012489661456230453
ABCA12,0.0012486387519817614
LMO4,0.0012480771843996763
CYP4F22,0.0012470837288973888
